application_id,county,program,application_date,age,application_stage,status,completion_status,reason_not_enrolled,cohort_year,Applied,Screened,Interviewed,Enrolled,Drop-off Stage
PTG-118479,Mombasa,STEM Cafe Kenya,2022-07-18,18,Enrolled,Enrolled,Completed,N/A - Enrolled,2022,Yes,Yes,Yes,Yes,Enrolled
PTG-109158,Lamu,Mombasa Girls in STEM,2023-05-13,19,Enrolled,Enrolled,Dropped Out,N/A - Enrolled,2023,Yes,Yes,Yes,Yes,Enrolled
PTG-115860,Mombasa,STEM Cafe Kenya,2023-06-05,18,Enrolled,Enrolled,Completed,N/A - Enrolled,2023,Yes,Yes,Yes,Yes,Enrolled
PTG-102279,Nairobi,Django Girls,2022-09-23,23,Applied Only - No Further Progress,Withdrawn,Not Enrolled,No trainer capacity,2022,Yes,No,No,No,Application Drop-off
PTG-100350,Nairobi,STEM Cafe Kenya,2022-09-25,19,Enrolled,Enrolled,Completed,N/A - Enrolled,2022,Yes,Yes,Yes,Yes,Enrolled
PTG-107339,Nairobi,Django Girls,2025-01-24,17,Enrolled,Enrolled,Completed,N/A - Enrolled,2025,Yes,Yes,Yes,Yes,Enrolled
PTG-119741,Mombasa,Technovation,2025-04-22,20,Enrolled,Enrolled,Completed,N/A - Enrolled,2025,Yes,Yes,Yes,Yes,Enrolled
PTG-107544,Nakuru,Africa Code Week,2021-08-11,17,Enrolled,Enrolled,Completed,N/A - Enrolled,2021,Yes,Yes,Yes,Yes,Enrolled
PTG-101801,Mombasa,STEM Cafe Kenya,2024-08-18,21,Enrolled,Enrolled,Completed,N/A - Enrolled,2024,Yes,Yes,Yes,Yes,Enrolled
PTG-113158,Nairobi,STEM Cafe Kenya,2020-03-05,20,Applied Only - No Further Progress,Withdrawn,Not Enrolled,Device unavailable,2020,Yes,No,No,No,Application Drop-off
PTG-116587,Mombasa,Codehack,2026-01-26,18,Enrolled,Enrolled,Completed,N/A - Enrolled,2026,Yes,Yes,Yes,Yes,Enrolled
PTG-110198,Nairobi,Codehack,2021-10-05,17,Enrolled,Enrolled,Completed,N/A - Enrolled,2021,Yes,Yes,Yes,Yes,Enrolled
PTG-115388,Nairobi,Codehack,2025-03-28,25,Enrolled,Enrolled,Completed,N/A - Enrolled,2025,Yes,Yes,Yes,Yes,Enrolled
PTG-118458,Mombasa,STEM Cafe Kenya,2018-04-25,20,Applied Only - No Further Progress,Rejected,Not Enrolled,Failed screening,2018,Yes,No,No,No,Application Drop-off
PTG-117124,Nairobi,Africa Code Week,2023-10-05,23,Applied Only - No Further Progress,Rejected,Not Enrolled,Device unavailable,2023,Yes,No,No,No,Application Drop-off
PTG-103469,Nairobi,STEM Cafe Kenya,2017-09-19,19,Applied Only - No Further Progress,Rejected,Not Enrolled,Session full / capacity reached,2017,Yes,No,No,No,Application Drop-off
PTG-116365,Nairobi,Technovation,2025-02-20,21,Enrolled,Enrolled,In Progress,N/A - Enrolled,2025,Yes,Yes,Yes,Yes,Enrolled
PTG-119033,Mombasa,STEM Cafe Kenya,2022-07-18,20,Enrolled,Enrolled,Dropped Out,N/A - Enrolled,2022,Yes,Yes,Yes,Yes,Enrolled
PTG-114903,Mombasa,Codehack,2021-04-16,21,Applied Only - No Further Progress,Withdrawn,Not Enrolled,Session full / capacity reached,2021,Yes,No,No,No,Application Drop-off
PTG-101904,Nairobi,STEM Cafe Kenya,2019-07-12,22,Screened - Not Interviewed,Rejected,Not Enrolled,Applicant withdrew,2019,Yes,Yes,No,No,Screening Drop-off
PTG-113320,Nakuru,Africa Code Week,2015-01-06,21,Applied Only - No Further Progress,Withdrawn,Not Enrolled,Ineligible (age/criteria),2015,Yes,No,No,No,Application Drop-off
PTG-107038,Nairobi,Django Girls,2025-02-16,20,Applied Only - No Further Progress,Rejected,Not Enrolled,No trainer capacity,2025,Yes,No,No,No,Application Drop-off
PTG-106486,Mombasa,STEM Cafe Kenya,2026-03-24,23,Enrolled,Enrolled,Completed,N/A - Enrolled,2026,Yes,Yes,Yes,Yes,Enrolled
PTG-101333,Mombasa,Africa Code Week,2024-10-03,20,Applied Only - No Further Progress,Withdrawn,Not Enrolled,Applicant withdrew,2024,Yes,No,No,No,Application Drop-off
PTG-112661,Kisumu,Django Girls,2022-02-26,23,Screened - Not Interviewed,Rejected,Not Enrolled,Device unavailable,2022,Yes,Yes,No,No,Screening Drop-off
PTG-106492,Mombasa,Codehack,2025-01-23,20,Enrolled,Enrolled,Completed,N/A - Enrolled,2025,Yes,Yes,Yes,Yes,Enrolled
PTG-104962,Mombasa,Mombasa Girls in STEM,2025-03-08,19,Enrolled,Enrolled,Completed,N/A - Enrolled,2025,Yes,Yes,Yes,Yes,Enrolled
PTG-116262,Nairobi,Mombasa Girls in STEM,2022-05-06,21,Interviewed - Not Enrolled,Rejected,Not Enrolled,Device unavailable,2022,Yes,Yes,Yes,No,Interview Drop-off
PTG-110470,Nairobi,Codehack,2019-09-30,19,Interviewed - Not Enrolled,Rejected,Not Enrolled,Ineligible (age/criteria),2019,Yes,Yes,Yes,No,Interview Drop-off
PTG-111537,Mombasa,Codehack,2022-01-16,23,Applied Only - No Further Progress,Rejected,Not Enrolled,Applicant withdrew,2022,Yes,No,No,No,Application Drop-off
PTG-118324,Nairobi,Codehack,2023-11-20,21,Enrolled,Enrolled,Dropped Out,N/A - Enrolled,2023,Yes,Yes,Yes,Yes,Enrolled
PTG-115182,Mombasa,Codehack,2023-07-28,17,Enrolled,Enrolled,Dropped Out,N/A - Enrolled,2023,Yes,Yes,Yes,Yes,Enrolled
PTG-104863,Nairobi,Technovation,2019-05-25,18,Applied Only - No Further Progress,Rejected,Not Enrolled,Failed screening,2019,Yes,No,No,No,Application Drop-off
PTG-111974,Mombasa,Codehack,2017-03-07,22,Screened - Not Interviewed,Rejected,Not Enrolled,Applicant withdrew,2017,Yes,Yes,No,No,Screening Drop-off
PTG-116270,Nairobi,Technovation,2024-12-24,22,Enrolled,Enrolled,Dropped Out,N/A - Enrolled,2024,Yes,Yes,Yes,Yes,Enrolled
PTG-116753,Nakuru,Django Girls,2025-04-22,23,Applied Only - No Further Progress,Withdrawn,Not Enrolled,Device unavailable,2025,Yes,No,No,No,Application Drop-off
PTG-104553,Kisumu,STEM Cafe Kenya,2016-07-07,20,Screened - Not Interviewed,Rejected,Not Enrolled,Applicant withdrew,2016,Yes,Yes,No,No,Screening Drop-off
PTG-101856,Kisumu,STEM Cafe Kenya,2024-06-07,19,Screened - Not Interviewed,Rejected,Not Enrolled,Applicant withdrew,2024,Yes,Yes,No,No,Screening Drop-off
PTG-115637,Nakuru,Mombasa Girls in STEM,2016-05-27,27,Applied Only - No Further Progress,Rejected,Not Enrolled,Applicant withdrew,2016,Yes,No,No,No,Application Drop-off
PTG-100226,Nakuru,Africa Code Week,2016-10-10,21,Applied Only - No Further Progress,Rejected,Not Enrolled,Device unavailable,2016,Yes,No,No,No,Application Drop-off
PTG-108212,Lamu,Technovation,2026-04-16,23,Applied Only - No Further Progress,Rejected,Not Enrolled,Not Specified,2026,Yes,No,No,No,Application Drop-off
PTG-109867,Nakuru,Mombasa Girls in STEM,2021-07-01,21,Enrolled,Enrolled,Dropped Out,N/A - Enrolled,2021,Yes,Yes,Yes,Yes,Enrolled
PTG-104871,Mombasa,Technovation,2021-09-25,23,Applied Only - No Further Progress,Withdrawn,Not Enrolled,Device unavailable,2021,Yes,No,No,No,Application Drop-off
PTG-118745,Nakuru,STEM Cafe Kenya,2022-12-01,19,Applied Only - No Further Progress,Withdrawn,Not Enrolled,Session full / capacity reached,2022,Yes,No,No,No,Application Drop-off
PTG-102231,Nairobi,Django Girls,2022-09-10,19,Enrolled,Enrolled,Completed,N/A - Enrolled,2022,Yes,Yes,Yes,Yes,Enrolled
PTG-102771,Nakuru,Mombasa Girls in STEM,2023-01-02,22,Screened - Not Interviewed,Rejected,Not Enrolled,Session full / capacity reached,2023,Yes,Yes,No,No,Screening Drop-off
PTG-101017,Nairobi,Africa Code Week,2019-12-19,19,Enrolled,Enrolled,Completed,N/A - Enrolled,2019,Yes,Yes,Yes,Yes,Enrolled
PTG-114293,Nairobi,Africa Code Week,2021-06-24,17,Applied Only - No Further Progress,Withdrawn,Not Enrolled,Session full / capacity reached,2021,Yes,No,No,No,Application Drop-off
PTG-100159,Mombasa,Django Girls,2015-05-31,21,Enrolled,Enrolled,Completed,N/A - Enrolled,2015,Yes,Yes,Yes,Yes,Enrolled
PTG-102314,Mombasa,Codehack,2025-10-20,22,Screened - Not Interviewed,Rejected,Not Enrolled,No trainer capacity,2025,Yes,Yes,No,No,Screening Drop-off
PTG-115891,Nakuru,Africa Code Week,2023-08-11,20,Applied Only - No Further Progress,Rejected,Not Enrolled,Session full / capacity reached,2023,Yes,No,No,No,Application Drop-off
PTG-112510,Nairobi,Technovation,2017-11-29,17,Applied Only - No Further Progress,Withdrawn,Not Enrolled,Session full / capacity reached,2017,Yes,No,No,No,Application Drop-off
PTG-101013,Nakuru,Technovation,2023-05-28,21,Applied Only - No Further Progress,Rejected,Not Enrolled,No trainer capacity,2023,Yes,No,No,No,Application Drop-off
PTG-115596,Nakuru,Technovation,2024-05-26,18,Applied Only - No Further Progress,Withdrawn,Not Enrolled,No trainer capacity,2024,Yes,No,No,No,Application Drop-off
PTG-112483,Mombasa,Codehack,2019-05-13,17,Screened - Not Interviewed,Rejected,Not Enrolled,Failed screening,2019,Yes,Yes,No,No,Screening Drop-off
PTG-100632,Lamu,Africa Code Week,2026-04-20,23,Screened - Not Interviewed,Rejected,Not Enrolled,Ineligible (age/criteria),2026,Yes,Yes,No,No,Screening Drop-off
PTG-120049,Nairobi,Africa Code Week,2017-09-12,17,Enrolled,Enrolled,Completed,N/A - Enrolled,2017,Yes,Yes,Yes,Yes,Enrolled
PTG-110763,Mombasa,Codehack,2026-03-17,20,Enrolled,Enrolled,Completed,N/A - Enrolled,2026,Yes,Yes,Yes,Yes,Enrolled
PTG-100782,Nairobi,Django Girls,2020-11-03,21,Applied Only - No Further Progress,Withdrawn,Not Enrolled,Session full / capacity reached,2020,Yes,No,No,No,Application Drop-off
PTG-117043,Nairobi,Mombasa Girls in STEM,2019-02-21,20,Enrolled,Enrolled,Completed,N/A - Enrolled,2019,Yes,Yes,Yes,Yes,Enrolled
PTG-102356,Mombasa,STEM Cafe Kenya,2022-05-17,18,Enrolled,Enrolled,Dropped Out,N/A - Enrolled,2022,Yes,Yes,Yes,Yes,Enrolled
PTG-103675,Mombasa,Codehack,2025-12-25,22,Applied Only - No Further Progress,Withdrawn,Not Enrolled,Failed screening,2025,Yes,No,No,No,Application Drop-off
PTG-112790,Nairobi,Django Girls,2021-09-02,17,Enrolled,Enrolled,Completed,N/A - Enrolled,2021,Yes,Yes,Yes,Yes,Enrolled
PTG-109531,Lamu,STEM Cafe Kenya,2016-02-24,21,Applied Only - No Further Progress,Withdrawn,Not Enrolled,Session full / capacity reached,2016,Yes,No,No,No,Application Drop-off
PTG-112363,Mombasa,Mombasa Girls in STEM,2017-01-01,19,Enrolled,Enrolled,Completed,N/A - Enrolled,2017,Yes,Yes,Yes,Yes,Enrolled
PTG-117440,Nairobi,Django Girls,2022-12-12,19,Screened - Not Interviewed,Rejected,Not Enrolled,Device unavailable,2022,Yes,Yes,No,No,Screening Drop-off
PTG-120104,Mombasa,Africa Code Week,2021-09-29,21,Screened - Not Interviewed,Rejected,Not Enrolled,Device unavailable,2021,Yes,Yes,No,No,Screening Drop-off
PTG-112222,Nairobi,Codehack,2018-04-26,26,Enrolled,Enrolled,Completed,N/A - Enrolled,2018,Yes,Yes,Yes,Yes,Enrolled
PTG-106098,Mombasa,Africa Code Week,2024-08-31,23,Enrolled,Enrolled,Completed,N/A - Enrolled,2024,Yes,Yes,Yes,Yes,Enrolled
PTG-103579,Mombasa,Africa Code Week,2025-09-21,23,Screened - Not Interviewed,Rejected,Not Enrolled,Device unavailable,2025,Yes,Yes,No,No,Screening Drop-off
PTG-113813,Nairobi,Technovation,2026-06-20,18,Enrolled,Enrolled,Completed,N/A - Enrolled,2026,Yes,Yes,Yes,Yes,Enrolled
PTG-105033,Nairobi,Mombasa Girls in STEM,2020-11-30,19,Applied Only - No Further Progress,Rejected,Not Enrolled,Device unavailable,2020,Yes,No,No,No,Application Drop-off
PTG-100057,Kisumu,Codehack,2025-11-18,19,Applied Only - No Further Progress,Withdrawn,Not Enrolled,Device unavailable,2025,Yes,No,No,No,Application Drop-off
PTG-114085,Nairobi,STEM Cafe Kenya,2017-06-04,18,Applied Only - No Further Progress,Rejected,Not Enrolled,Device unavailable,2017,Yes,No,No,No,Application Drop-off
PTG-108583,Nairobi,Django Girls,2024-10-10,19,Enrolled,Enrolled,Completed,N/A - Enrolled,2024,Yes,Yes,Yes,Yes,Enrolled
PTG-100097,Mombasa,STEM Cafe Kenya,2024-10-12,19,Screened - Not Interviewed,Rejected,Not Enrolled,Session full / capacity reached,2024,Yes,Yes,No,No,Screening Drop-off
PTG-106542,Mombasa,STEM Cafe Kenya,2022-04-29,21,Applied Only - No Further Progress,Withdrawn,Not Enrolled,Session full / capacity reached,2022,Yes,No,No,No,Application Drop-off
PTG-114820,Mombasa,Codehack,2022-06-22,18,Interviewed - Not Enrolled,Rejected,Not Enrolled,Device unavailable,2022,Yes,Yes,Yes,No,Interview Drop-off
PTG-107000,Nairobi,Codehack,2023-01-26,21,Enrolled,Enrolled,Completed,N/A - Enrolled,2023,Yes,Yes,Yes,Yes,Enrolled
PTG-103857,Mombasa,Mombasa Girls in STEM,2026-03-08,19,Enrolled,Enrolled,Completed,N/A - Enrolled,2026,Yes,Yes,Yes,Yes,Enrolled
PTG-119519,Nakuru,Mombasa Girls in STEM,2023-02-15,20,Enrolled,Enrolled,Completed,N/A - Enrolled,2023,Yes,Yes,Yes,Yes,Enrolled
PTG-107963,Nakuru,Codehack,2024-04-08,20,Interviewed - Not Enrolled,Withdrawn,Not Enrolled,Applicant withdrew,2024,Yes,Yes,Yes,No,Interview Drop-off
PTG-106175,Nairobi,Django Girls,2020-03-26,20,Enrolled,Enrolled,Dropped Out,N/A - Enrolled,2020,Yes,Yes,Yes,Yes,Enrolled
PTG-113659,Kisumu,Django Girls,2026-06-15,24,Enrolled,Enrolled,In Progress,N/A - Enrolled,2026,Yes,Yes,Yes,Yes,Enrolled
PTG-104803,Mombasa,Django Girls,2025-07-26,26,Applied Only - No Further Progress,Rejected,Not Enrolled,Device unavailable,2025,Yes,No,No,No,Application Drop-off
PTG-118374,Nairobi,Africa Code Week,2020-04-20,22,Screened - Not Interviewed,Rejected,Not Enrolled,Session full / capacity reached,2020,Yes,Yes,No,No,Screening Drop-off
PTG-101464,Mombasa,Django Girls,2025-01-14,17,Applied Only - No Further Progress,Rejected,Not Enrolled,Session full / capacity reached,2025,Yes,No,No,No,Application Drop-off
PTG-107809,Mombasa,Codehack,2019-07-30,19,Enrolled,Enrolled,In Progress,N/A - Enrolled,2019,Yes,Yes,Yes,Yes,Enrolled
PTG-117515,Nairobi,Technovation,2020-10-12,17,Interviewed - Not Enrolled,Withdrawn,Not Enrolled,Session full / capacity reached,2020,Yes,Yes,Yes,No,Interview Drop-off
PTG-103726,Mombasa,Mombasa Girls in STEM,2024-11-17,24,Interviewed - Not Enrolled,Withdrawn,Not Enrolled,Session full / capacity reached,2024,Yes,Yes,Yes,No,Interview Drop-off
PTG-103349,Mombasa,STEM Cafe Kenya,2016-10-21,28,Applied Only - No Further Progress,Rejected,Not Enrolled,Device unavailable,2016,Yes,No,No,No,Application Drop-off
PTG-107664,Kisumu,Django Girls,2021-06-09,25,Applied Only - No Further Progress,Withdrawn,Not Enrolled,No trainer capacity,2021,Yes,No,No,No,Application Drop-off
PTG-108058,Mombasa,Codehack,2024-11-19,21,Applied Only - No Further Progress,Rejected,Not Enrolled,Session full / capacity reached,2024,Yes,No,No,No,Application Drop-off
PTG-116439,Kisumu,Africa Code Week,2021-08-22,19,Applied Only - No Further Progress,Rejected,Not Enrolled,Device unavailable,2021,Yes,No,No,No,Application Drop-off
PTG-103389,Mombasa,Codehack,2018-06-25,20,Applied Only - No Further Progress,Withdrawn,Not Enrolled,No trainer capacity,2018,Yes,No,No,No,Application Drop-off
PTG-113577,Mombasa,Africa Code Week,2017-07-24,20,Screened - Not Interviewed,Rejected,Not Enrolled,Ineligible (age/criteria),2017,Yes,Yes,No,No,Screening Drop-off
PTG-100116,Lamu,STEM Cafe Kenya,2021-08-23,23,Enrolled,Enrolled,In Progress,N/A - Enrolled,2021,Yes,Yes,Yes,Yes,Enrolled
PTG-108524,Nairobi,Technovation,2023-09-09,25,Screened - Not Interviewed,Rejected,Not Enrolled,No trainer capacity,2023,Yes,Yes,No,No,Screening Drop-off
PTG-106555,Mombasa,Mombasa Girls in STEM,2020-07-31,23,Enrolled,Enrolled,Dropped Out,N/A - Enrolled,2020,Yes,Yes,Yes,Yes,Enrolled
PTG-113920,Nairobi,Technovation,2025-02-26,22,Enrolled,Enrolled,Completed,N/A - Enrolled,2025,Yes,Yes,Yes,Yes,Enrolled
PTG-101504,Mombasa,Mombasa Girls in STEM,2018-12-31,18,Enrolled,Enrolled,Completed,N/A - Enrolled,2018,Yes,Yes,Yes,Yes,Enrolled
PTG-106991,Mombasa,Technovation,2023-05-06,23,Enrolled,Enrolled,Completed,N/A - Enrolled,2023,Yes,Yes,Yes,Yes,Enrolled
PTG-114206,Kisumu,Technovation,2024-08-29,20,Applied Only - No Further Progress,Withdrawn,Not Enrolled,Device unavailable,2024,Yes,No,No,No,Application Drop-off
PTG-107215,Nairobi,Africa Code Week,2022-11-23,21,Screened - Not Interviewed,Rejected,Not Enrolled,No trainer capacity,2022,Yes,Yes,No,No,Screening Drop-off
PTG-100947,Mombasa,Technovation,2025-08-02,19,Applied Only - No Further Progress,Withdrawn,Not Enrolled,Device unavailable,2025,Yes,No,No,No,Application Drop-off
PTG-113851,Nairobi,Django Girls,2021-05-12,22,Applied Only - No Further Progress,Withdrawn,Not Enrolled,Device unavailable,2021,Yes,No,No,No,Application Drop-off
PTG-117777,Nairobi,Codehack,2020-02-25,23,Applied Only - No Further Progress,Withdrawn,Not Enrolled,Device unavailable,2020,Yes,No,No,No,Application Drop-off
PTG-108124,Nakuru,Africa Code Week,2025-03-23,17,Applied Only - No Further Progress,Withdrawn,Not Enrolled,Device unavailable,2025,Yes,No,No,No,Application Drop-off
PTG-119060,Mombasa,Technovation,2022-01-03,20,Screened - Not Interviewed,Rejected,Not Enrolled,Session full / capacity reached,2022,Yes,Yes,No,No,Screening Drop-off
PTG-116034,Mombasa,STEM Cafe Kenya,2024-01-07,21,Applied Only - No Further Progress,Rejected,Not Enrolled,Session full / capacity reached,2024,Yes,No,No,No,Application Drop-off
PTG-103219,Mombasa,Codehack,2023-05-18,24,Screened - Not Interviewed,Rejected,Not Enrolled,Failed screening,2023,Yes,Yes,No,No,Screening Drop-off
PTG-114403,Mombasa,Codehack,2022-10-01,28,Enrolled,Enrolled,Completed,N/A - Enrolled,2022,Yes,Yes,Yes,Yes,Enrolled
PTG-114387,Nairobi,Mombasa Girls in STEM,2026-01-11,21,Enrolled,Enrolled,Dropped Out,N/A - Enrolled,2026,Yes,Yes,Yes,Yes,Enrolled
PTG-102578,Nakuru,Mombasa Girls in STEM,2023-05-19,17,Applied Only - No Further Progress,Rejected,Not Enrolled,Applicant withdrew,2023,Yes,No,No,No,Application Drop-off
PTG-116175,Mombasa,Mombasa Girls in STEM,2022-03-24,20,Screened - Not Interviewed,Rejected,Not Enrolled,Ineligible (age/criteria),2022,Yes,Yes,No,No,Screening Drop-off
PTG-103252,Kisumu,Technovation,2021-08-09,23,Screened - Not Interviewed,Rejected,Not Enrolled,Ineligible (age/criteria),2021,Yes,Yes,No,No,Screening Drop-off
PTG-113958,Mombasa,STEM Cafe Kenya,2017-05-26,17,Screened - Not Interviewed,Rejected,Not Enrolled,Session full / capacity reached,2017,Yes,Yes,No,No,Screening Drop-off
PTG-115683,Mombasa,Mombasa Girls in STEM,2025-06-06,20,Enrolled,Enrolled,Completed,N/A - Enrolled,2025,Yes,Yes,Yes,Yes,Enrolled
PTG-101959,Nakuru,Technovation,2025-02-16,23,Enrolled,Enrolled,Completed,N/A - Enrolled,2025,Yes,Yes,Yes,Yes,Enrolled
PTG-116114,Nairobi,STEM Cafe Kenya,2024-11-21,21,Enrolled,Enrolled,Completed,N/A - Enrolled,2024,Yes,Yes,Yes,Yes,Enrolled
PTG-102131,Nakuru,Django Girls,2019-03-27,24,Enrolled,Enrolled,Dropped Out,N/A - Enrolled,2019,Yes,Yes,Yes,Yes,Enrolled
PTG-105461,Nakuru,Codehack,2022-10-09,23,Interviewed - Not Enrolled,Withdrawn,Not Enrolled,Failed screening,2022,Yes,Yes,Yes,No,Interview Drop-off
PTG-120067,Nairobi,STEM Cafe Kenya,2016-05-08,23,Screened - Not Interviewed,Rejected,Not Enrolled,Device unavailable,2016,Yes,Yes,No,No,Screening Drop-off
PTG-116962,Nakuru,STEM Cafe Kenya,2017-09-04,23,Screened - Not Interviewed,Rejected,Not Enrolled,Not Specified,2017,Yes,Yes,No,No,Screening Drop-off
PTG-108381,Mombasa,STEM Cafe Kenya,2022-08-02,23,Screened - Not Interviewed,Rejected,Not Enrolled,No trainer capacity,2022,Yes,Yes,No,No,Screening Drop-off
PTG-116174,Nairobi,Mombasa Girls in STEM,2019-04-09,18,Enrolled,Enrolled,Completed,N/A - Enrolled,2019,Yes,Yes,Yes,Yes,Enrolled
PTG-104337,Mombasa,Mombasa Girls in STEM,2026-05-19,20,Enrolled,Enrolled,Completed,N/A - Enrolled,2026,Yes,Yes,Yes,Yes,Enrolled
PTG-108102,Nairobi,Africa Code Week,2022-07-18,28,Applied Only - No Further Progress,Withdrawn,Not Enrolled,Failed screening,2022,Yes,No,No,No,Application Drop-off
PTG-117959,Nakuru,Codehack,2018-04-13,17,Screened - Not Interviewed,Rejected,Not Enrolled,Applicant withdrew,2018,Yes,Yes,No,No,Screening Drop-off
PTG-118550,Mombasa,STEM Cafe Kenya,2026-05-26,21,Enrolled,Enrolled,In Progress,N/A - Enrolled,2026,Yes,Yes,Yes,Yes,Enrolled
PTG-102953,Mombasa,Africa Code Week,2022-07-14,17,Applied Only - No Further Progress,Rejected,Not Enrolled,No trainer capacity,2022,Yes,No,No,No,Application Drop-off
PTG-102114,Mombasa,Technovation,2024-08-05,23,Enrolled,Enrolled,Completed,N/A - Enrolled,2024,Yes,Yes,Yes,Yes,Enrolled
PTG-107402,Kisumu,Codehack,2022-10-31,27,Applied Only - No Further Progress,Rejected,Not Enrolled,Failed screening,2022,Yes,No,No,No,Application Drop-off
PTG-115716,Nakuru,STEM Cafe Kenya,2018-10-31,22,Enrolled,Enrolled,Completed,N/A - Enrolled,2018,Yes,Yes,Yes,Yes,Enrolled
PTG-107481,Kisumu,Codehack,2018-04-17,19,Enrolled,Enrolled,Dropped Out,N/A - Enrolled,2018,Yes,Yes,Yes,Yes,Enrolled
PTG-106356,Nairobi,Django Girls,2019-12-07,24,Applied Only - No Further Progress,Rejected,Not Enrolled,Device unavailable,2019,Yes,No,No,No,Application Drop-off
PTG-116791,Mombasa,STEM Cafe Kenya,2020-07-03,24,Applied Only - No Further Progress,Rejected,Not Enrolled,Session full / capacity reached,2020,Yes,No,No,No,Application Drop-off
PTG-115175,Kisumu,STEM Cafe Kenya,2016-10-22,20,Screened - Not Interviewed,Rejected,Not Enrolled,Device unavailable,2016,Yes,Yes,No,No,Screening Drop-off
PTG-110701,Lamu,Africa Code Week,2019-08-14,20,Applied Only - No Further Progress,Rejected,Not Enrolled,Device unavailable,2019,Yes,No,No,No,Application Drop-off
PTG-102127,Nairobi,STEM Cafe Kenya,2022-06-06,20,Applied Only - No Further Progress,Withdrawn,Not Enrolled,Session full / capacity reached,2022,Yes,No,No,No,Application Drop-off
PTG-108011,Mombasa,Codehack,2018-06-07,20,Applied Only - No Further Progress,Withdrawn,Not Enrolled,Applicant withdrew,2018,Yes,No,No,No,Application Drop-off
PTG-104821,Nairobi,Django Girls,2020-09-30,17,Applied Only - No Further Progress,Rejected,Not Enrolled,Ineligible (age/criteria),2020,Yes,No,No,No,Application Drop-off
PTG-108803,Nairobi,Africa Code Week,2021-08-06,21,Applied Only - No Further Progress,Rejected,Not Enrolled,Device unavailable,2021,Yes,No,No,No,Application Drop-off
PTG-117292,Nakuru,Technovation,2018-09-17,21,Enrolled,Enrolled,Completed,N/A - Enrolled,2018,Yes,Yes,Yes,Yes,Enrolled
PTG-102157,Mombasa,STEM Cafe Kenya,2025-03-06,23,Applied Only - No Further Progress,Rejected,Not Enrolled,Device unavailable,2025,Yes,No,No,No,Application Drop-off
PTG-114496,Nairobi,Africa Code Week,2025-03-12,20,Applied Only - No Further Progress,Withdrawn,Not Enrolled,Device unavailable,2025,Yes,No,No,No,Application Drop-off
PTG-106368,Nakuru,Technovation,2019-03-04,18,Screened - Not Interviewed,Rejected,Not Enrolled,Ineligible (age/criteria),2019,Yes,Yes,No,No,Screening Drop-off
PTG-102679,Mombasa,Technovation,2024-07-15,20,Enrolled,Enrolled,Completed,N/A - Enrolled,2024,Yes,Yes,Yes,Yes,Enrolled
PTG-107749,Nakuru,STEM Cafe Kenya,2018-03-27,20,Screened - Not Interviewed,Rejected,Not Enrolled,Session full / capacity reached,2018,Yes,Yes,No,No,Screening Drop-off
PTG-107858,Kisumu,Codehack,2025-02-07,23,Applied Only - No Further Progress,Withdrawn,Not Enrolled,Device unavailable,2025,Yes,No,No,No,Application Drop-off
PTG-109055,Nairobi,STEM Cafe Kenya,2019-04-20,24,Applied Only - No Further Progress,Rejected,Not Enrolled,Failed screening,2019,Yes,No,No,No,Application Drop-off
PTG-108959,Kisumu,Africa Code Week,2022-10-11,25,Applied Only - No Further Progress,Withdrawn,Not Enrolled,Session full / capacity reached,2022,Yes,No,No,No,Application Drop-off
PTG-113590,Nairobi,Codehack,2025-03-04,20,Enrolled,Enrolled,Dropped Out,N/A - Enrolled,2025,Yes,Yes,Yes,Yes,Enrolled
PTG-107108,Mombasa,Codehack,2024-11-17,20,Applied Only - No Further Progress,Withdrawn,Not Enrolled,Applicant withdrew,2024,Yes,No,No,No,Application Drop-off
PTG-117404,Nairobi,Technovation,2026-04-23,17,Applied Only - No Further Progress,Rejected,Not Enrolled,Ineligible (age/criteria),2026,Yes,No,No,No,Application Drop-off
PTG-111765,Nairobi,Django Girls,2021-07-20,21,Screened - Not Interviewed,Rejected,Not Enrolled,Device unavailable,2021,Yes,Yes,No,No,Screening Drop-off
PTG-116150,Mombasa,STEM Cafe Kenya,2019-11-09,24,Enrolled,Enrolled,Completed,N/A - Enrolled,2019,Yes,Yes,Yes,Yes,Enrolled
PTG-100155,Mombasa,Mombasa Girls in STEM,2023-05-17,17,Applied Only - No Further Progress,Withdrawn,Not Enrolled,No trainer capacity,2023,Yes,No,No,No,Application Drop-off
PTG-109839,Kisumu,Codehack,2020-07-31,20,Enrolled,Enrolled,Completed,N/A - Enrolled,2020,Yes,Yes,Yes,Yes,Enrolled
PTG-115061,Nairobi,Africa Code Week,2024-06-14,21,Applied Only - No Further Progress,Withdrawn,Not Enrolled,Session full / capacity reached,2024,Yes,No,No,No,Application Drop-off
PTG-117661,Lamu,Codehack,2024-06-29,17,Applied Only - No Further Progress,Rejected,Not Enrolled,Ineligible (age/criteria),2024,Yes,No,No,No,Application Drop-off
PTG-117487,Nakuru,Mombasa Girls in STEM,2015-06-25,20,Applied Only - No Further Progress,Withdrawn,Not Enrolled,Session full / capacity reached,2015,Yes,No,No,No,Application Drop-off
PTG-102657,Mombasa,Codehack,2021-06-01,21,Applied Only - No Further Progress,Rejected,Not Enrolled,Applicant withdrew,2021,Yes,No,No,No,Application Drop-off
